sc_gid,capacity_factor,global_horizontal_irradiance,capacity_mw,area_sq_km,latitude,longitude,distance_to_transmission_km
189,0.163485721,3.844418049,11.08828795,0.346508998,48.316,-117.983,2.058174119
190,0.157298028,3.754072189,103.3957485,3.231117142,48.338,-117.823,2.021794824
191,0.155922309,3.729047537,32.71363374,1.022301054,48.36,-117.662,0.935254483
192,0.151757985,3.635668039,138.6959203,4.33424751,48.404,-117.341,0.221660629
193,0.151245385,3.607513666,109.6646423,3.427020071,48.512,-116.537,13.46630748
194,0.152787983,3.639627934,348.0212461,10.87566394,48.532,-116.375,50.00181296
195,0.150627717,3.570453644,209.8990178,6.559344305,48.714,-114.919,2.809830708
196,0.150999978,3.55099988,4.487616541,0.140238017,48.733,-114.756,5.073169965
197,0.149000004,3.506000042,0.172800005,0.0054,48.752,-114.593,5.833620957
198,0.171276316,3.839482307,441.2799316,13.78999786,48.882,-113.452,50.79135854
199,0.170164883,3.804619312,894.4865437,27.95270449,48.9,-113.289,144.1775436
200,0.168185264,3.772876978,95.79226113,2.99350816,48.917,-113.125,12.32921968
201,0.169642344,3.810240984,513.3818918,16.04318412,48.935,-112.962,150.4759236
202,0.169784382,3.814617634,1150.192406,35.9435127,48.952,-112.798,154.08515
203,0.169293374,3.804306507,415.8685547,12.99589233,48.986,-112.47,162.1801301
204,0.170036376,3.819797039,272.2089797,8.506530615,49.003,-112.306,166.6225288
205,0.169851601,3.825539351,86.78764775,2.712113992,49.02,-112.142,3.476489319
206,0.168983534,3.81198287,8.585567908,0.268298997,49.036,-111.978,5.190756541
207,0.151999995,3.575999737,7.469856189,0.233433006,47.372,-68.162,6.652205085
208,0.141628325,3.441413164,155.4652934,4.858290417,47.367,-123.302,5.587976377
209,0.142126217,3.454248428,535.1308031,16.7228376,47.394,-123.147,2.028901429
210,0.140774652,3.443457603,12.26908839,0.383409012,47.422,-122.992,6.816093983
211,0.137461662,3.355551243,741.0963375,23.15926055,47.449,-122.836,17.36426273
212,0.137728155,3.350811243,1043.068388,32.59588711,47.477,-122.681,20.14313338
213,0.140980586,3.423112631,260.2944176,8.134200549,47.504,-122.525,7.233305842
214,0.129500568,3.203376532,64.38067866,2.011896208,47.584,-122.057,2.75506485
215,0.126954451,3.149468899,777.9084328,24.30963853,47.61,-121.9,2.200435771
216,0.126439348,3.111705303,129.6057665,4.050180203,47.637,-121.744,5.215459981
217,0.134000033,3.268000364,4.998239374,0.15619498,47.689,-121.43,2.83522015
218,0.178883225,4.117592812,435.6553043,13.61422826,47.94,-119.854,0.7589572
219,0.177595839,4.087434769,646.2648281,20.19577588,47.964,-119.696,2.740702752
220,0.177281514,4.05338192,1396.965741,43.65517939,47.988,-119.537,0.726529489
221,0.176827163,4.039785862,2238.462591,69.95195596,48.012,-119.379,0.634556716
222,0.176561803,4.035778999,1890.104878,59.06577744,48.036,-119.22,19.92536698
223,0.175977781,4.025926113,911.0175047,28.46929702,48.06,-119.061,7.548388268
224,0.172205582,3.966094494,236.7512771,7.398477411,48.083,-118.902,10.62252782
225,0.167862132,3.871170998,113.3573801,3.542418127,48.106,-118.743,26.17789674
226,0.168999985,3.880999804,5.315616101,0.166113003,48.13,-118.584,18.22679164
227,0.156894386,3.761758566,197.0254125,6.157044141,48.243,-117.785,9.512115956
228,0.155649334,3.733184576,137.3391387,4.291848083,48.265,-117.625,6.348078541
229,0.153526574,3.671417475,32.88499343,1.027656045,48.287,-117.465,5.168767062
230,0.151664749,3.650377035,473.3717836,14.79286824,48.309,-117.305,2.202463003
231,0.151262775,3.613143921,1163.696878,36.36552744,48.416,-116.501,59.32468304
232,0.152278304,3.636456728,40.1083207,1.253385022,48.437,-116.34,7.326894803
